lembur_id,karyawan_id,tanggal,jam_mulai,jam_selesai,durasi_jam,status_approval,keterangan
27,3,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Ditolak,Lembur proyek 4
28,15,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 3
29,17,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 3
30,18,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 3
31,20,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 4
32,23,2024-07-03,2024-07-03 17:30:00,2024-07-03 18:30:00,1,Disetujui,Lembur proyek 4
33,31,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Disetujui,Lembur proyek 3
34,39,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Disetujui,Lembur proyek 4
35,41,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 4
36,47,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Disetujui,Lembur proyek 1
37,6,2024-07-04,2024-07-04 17:30:00,2024-07-04 19:30:00,2,Disetujui,Lembur proyek 5
38,10,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Ditolak,Lembur proyek 5
39,15,2024-07-04,2024-07-04 17:30:00,2024-07-04 18:30:00,1,Ditolak,Lembur proyek 5
40,18,2024-07-04,2024-07-04 17:30:00,2024-07-04 18:30:00,1,Ditolak,Lembur proyek 2
41,28,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Disetujui,Lembur proyek 5
42,29,2024-07-04,2024-07-04 17:30:00,2024-07-04 20:30:00,3,Ditolak,Lembur proyek 4
43,36,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Disetujui,Lembur proyek 3
44,44,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Ditolak,Lembur proyek 2
45,4,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Ditolak,Lembur proyek 4
46,14,2024-07-05,2024-07-05 17:30:00,2024-07-05 19:30:00,2,Disetujui,Lembur proyek 4
47,15,2024-07-05,2024-07-05 17:30:00,2024-07-05 18:30:00,1,Disetujui,Lembur proyek 2
48,22,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Disetujui,Lembur proyek 1
49,25,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Ditolak,Lembur proyek 1
50,27,2024-07-05,2024-07-05 17:30:00,2024-07-05 20:30:00,3,Ditolak,Lembur proyek 3
51,29,2024-07-05,2024-07-05 17:30:00,2024-07-05 19:30:00,2,Disetujui,Lembur proyek 2
52,30,2024-07-05,2024-07-05 17:30:00,2024-07-05 20:30:00,3,Ditolak,Lembur proyek 5
53,46,2024-07-05,2024-07-05 17:30:00,2024-07-05 20:30:00,3,Disetujui,Lembur proyek 3
54,48,2024-07-05,2024-07-05 17:30:00,2024-07-05 18:30:00,1,Disetujui,Lembur proyek 5
55,3,2024-07-06,2024-07-06 17:30:00,2024-07-06 21:30:00,4,Ditolak,Lembur proyek 4
56,6,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 1
57,10,2024-07-06,2024-07-06 17:30:00,2024-07-06 21:30:00,4,Ditolak,Lembur proyek 5
58,12,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 1
59,18,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Disetujui,Lembur proyek 4
60,19,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 4
61,23,2024-07-06,2024-07-06 17:30:00,2024-07-06 18:30:00,1,Disetujui,Lembur proyek 1
62,29,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Disetujui,Lembur proyek 5
63,35,2024-07-06,2024-07-06 17:30:00,2024-07-06 18:30:00,1,Ditolak,Lembur proyek 1
64,36,2024-07-06,2024-07-06 17:30:00,2024-07-06 18:30:00,1,Ditolak,Lembur proyek 2
65,39,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 2
66,41,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 3
67,46,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 5
68,50,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Disetujui,Lembur proyek 1
69,2,2024-07-07,2024-07-07 17:30:00,2024-07-07 18:30:00,1,Disetujui,Lembur proyek 5
70,16,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Disetujui,Lembur proyek 2
71,17,2024-07-07,2024-07-07 17:30:00,2024-07-07 20:30:00,3,Disetujui,Lembur proyek 2
72,25,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Ditolak,Lembur proyek 3
73,30,2024-07-07,2024-07-07 17:30:00,2024-07-07 18:30:00,1,Ditolak,Lembur proyek 1
74,44,2024-07-07,2024-07-07 17:30:00,2024-07-07 21:30:00,4,Disetujui,Lembur proyek 4
75,2,2024-07-08,2024-07-08 17:30:00,2024-07-08 21:30:00,4,Disetujui,Lembur proyek 2
76,3,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Disetujui,Lembur proyek 2
77,4,2024-07-08,2024-07-08 17:30:00,2024-07-08 20:30:00,3,Disetujui,Lembur proyek 4
78,6,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Ditolak,Lembur proyek 5
79,11,2024-07-08,2024-07-08 17:30:00,2024-07-08 21:30:00,4,Ditolak,Lembur proyek 4
80,31,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Ditolak,Lembur proyek 3
81,33,2024-07-08,2024-07-08 17:30:00,2024-07-08 20:30:00,3,Ditolak,Lembur proyek 1
82,38,2024-07-08,2024-07-08 17:30:00,2024-07-08 20:30:00,3,Ditolak,Lembur proyek 2
83,49,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Disetujui,Lembur proyek 3
84,1,2024-07-09,2024-07-09 17:30:00,2024-07-09 21:30:00,4,Disetujui,Lembur proyek 3
85,4,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Ditolak,Lembur proyek 5
86,6,2024-07-09,2024-07-09 17:30:00,2024-07-09 21:30:00,4,Disetujui,Lembur proyek 3
87,10,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Disetujui,Lembur proyek 3
88,14,2024-07-09,2024-07-09 17:30:00,2024-07-09 18:30:00,1,Disetujui,Lembur proyek 1
89,17,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Disetujui,Lembur proyek 1
90,23,2024-07-09,2024-07-09 17:30:00,2024-07-09 20:30:00,3,Disetujui,Lembur proyek 2
91,30,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Disetujui,Lembur proyek 2
92,34,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Ditolak,Lembur proyek 5
93,37,2024-07-09,2024-07-09 17:30:00,2024-07-09 21:30:00,4,Disetujui,Lembur proyek 3
94,7,2024-07-10,2024-07-10 17:30:00,2024-07-10 20:30:00,3,Disetujui,Lembur proyek 3
95,10,2024-07-10,2024-07-10 17:30:00,2024-07-10 20:30:00,3,Disetujui,Lembur proyek 1
96,16,2024-07-10,2024-07-10 17:30:00,2024-07-10 21:30:00,4,Ditolak,Lembur proyek 1
97,23,2024-07-10,2024-07-10 17:30:00,2024-07-10 18:30:00,1,Ditolak,Lembur proyek 1
98,28,2024-07-10,2024-07-10 17:30:00,2024-07-10 21:30:00,4,Disetujui,Lembur proyek 4
99,42,2024-07-10,2024-07-10 17:30:00,2024-07-10 21:30:00,4,Ditolak,Lembur proyek 4
100,45,2024-07-10,2024-07-10 17:30:00,2024-07-10 19:30:00,2,Ditolak,Lembur proyek 5
101,46,2024-07-10,2024-07-10 17:30:00,2024-07-10 20:30:00,3,Ditolak,Lembur proyek 1
102,4,2024-07-11,2024-07-11 17:30:00,2024-07-11 18:30:00,1,Disetujui,Lembur proyek 3
103,20,2024-07-11,2024-07-11 17:30:00,2024-07-11 21:30:00,4,Disetujui,Lembur proyek 1
104,21,2024-07-11,2024-07-11 17:30:00,2024-07-11 20:30:00,3,Disetujui,Lembur proyek 5
105,26,2024-07-11,2024-07-11 17:30:00,2024-07-11 18:30:00,1,Disetujui,Lembur proyek 5
106,47,2024-07-11,2024-07-11 17:30:00,2024-07-11 18:30:00,1,Disetujui,Lembur proyek 5
107,49,2024-07-11,2024-07-11 17:30:00,2024-07-11 18:30:00,1,Disetujui,Lembur proyek 4
108,7,2024-07-12,2024-07-12 17:30:00,2024-07-12 20:30:00,3,Disetujui,Lembur proyek 5
109,14,2024-07-12,2024-07-12 17:30:00,2024-07-12 18:30:00,1,Ditolak,Lembur proyek 5
110,19,2024-07-12,2024-07-12 17:30:00,2024-07-12 18:30:00,1,Disetujui,Lembur proyek 3
111,25,2024-07-12,2024-07-12 17:30:00,2024-07-12 20:30:00,3,Disetujui,Lembur proyek 5
112,27,2024-07-12,2024-07-12 17:30:00,2024-07-12 18:30:00,1,Disetujui,Lembur proyek 4
113,34,2024-07-12,2024-07-12 17:30:00,2024-07-12 19:30:00,2,Disetujui,Lembur proyek 4
114,36,2024-07-12,2024-07-12 17:30:00,2024-07-12 19:30:00,2,Ditolak,Lembur proyek 4
115,39,2024-07-12,2024-07-12 17:30:00,2024-07-12 19:30:00,2,Disetujui,Lembur proyek 4
116,42,2024-07-12,2024-07-12 17:30:00,2024-07-12 18:30:00,1,Ditolak,Lembur proyek 3
117,1,2024-07-13,2024-07-13 17:30:00,2024-07-13 20:30:00,3,Disetujui,Lembur proyek 1
118,12,2024-07-13,2024-07-13 17:30:00,2024-07-13 21:30:00,4,Ditolak,Lembur proyek 3
119,16,2024-07-13,2024-07-13 17:30:00,2024-07-13 18:30:00,1,Disetujui,Lembur proyek 4
120,21,2024-07-13,2024-07-13 17:30:00,2024-07-13 21:30:00,4,Disetujui,Lembur proyek 2
121,25,2024-07-13,2024-07-13 17:30:00,2024-07-13 18:30:00,1,Ditolak,Lembur proyek 5
122,29,2024-07-13,2024-07-13 17:30:00,2024-07-13 19:30:00,2,Ditolak,Lembur proyek 3
123,30,2024-07-13,2024-07-13 17:30:00,2024-07-13 18:30:00,1,Disetujui,Lembur proyek 5
124,35,2024-07-13,2024-07-13 17:30:00,2024-07-13 18:30:00,1,Disetujui,Lembur proyek 4
125,36,2024-07-13,2024-07-13 17:30:00,2024-07-13 20:30:00,3,Ditolak,Lembur proyek 2
126,45,2024-07-13,2024-07-13 17:30:00,2024-07-13 21:30:00,4,Ditolak,Lembur proyek 3
127,49,2024-07-13,2024-07-13 17:30:00,2024-07-13 20:30:00,3,Ditolak,Lembur proyek 5
128,5,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Disetujui,Lembur proyek 3
129,7,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Ditolak,Lembur proyek 3
130,8,2024-07-14,2024-07-14 17:30:00,2024-07-14 20:30:00,3,Ditolak,Lembur proyek 5
131,11,2024-07-14,2024-07-14 17:30:00,2024-07-14 19:30:00,2,Disetujui,Lembur proyek 4
132,14,2024-07-14,2024-07-14 17:30:00,2024-07-14 21:30:00,4,Disetujui,Lembur proyek 5
133,15,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Ditolak,Lembur proyek 4
134,23,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Ditolak,Lembur proyek 4
135,27,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Disetujui,Lembur proyek 2
136,38,2024-07-14,2024-07-14 17:30:00,2024-07-14 19:30:00,2,Disetujui,Lembur proyek 4
137,43,2024-07-14,2024-07-14 17:30:00,2024-07-14 19:30:00,2,Ditolak,Lembur proyek 2
138,44,2024-07-14,2024-07-14 17:30:00,2024-07-14 18:30:00,1,Disetujui,Lembur proyek 4
139,45,2024-07-14,2024-07-14 17:30:00,2024-07-14 21:30:00,4,Disetujui,Lembur proyek 4
140,48,2024-07-14,2024-07-14 17:30:00,2024-07-14 19:30:00,2,Disetujui,Lembur proyek 4
141,2,2024-07-15,2024-07-15 17:30:00,2024-07-15 21:30:00,4,Disetujui,Lembur proyek 1
142,4,2024-07-15,2024-07-15 17:30:00,2024-07-15 19:30:00,2,Disetujui,Lembur proyek 2
143,6,2024-07-15,2024-07-15 17:30:00,2024-07-15 18:30:00,1,Disetujui,Lembur proyek 2
144,8,2024-07-15,2024-07-15 17:30:00,2024-07-15 19:30:00,2,Disetujui,Lembur proyek 3
145,9,2024-07-15,2024-07-15 17:30:00,2024-07-15 21:30:00,4,Ditolak,Lembur proyek 3
146,23,2024-07-15,2024-07-15 17:30:00,2024-07-15 21:30:00,4,Ditolak,Lembur proyek 2
147,27,2024-07-15,2024-07-15 17:30:00,2024-07-15 19:30:00,2,Disetujui,Lembur proyek 4
148,31,2024-07-15,2024-07-15 17:30:00,2024-07-15 21:30:00,4,Ditolak,Lembur proyek 3
149,32,2024-07-15,2024-07-15 17:30:00,2024-07-15 21:30:00,4,Disetujui,Lembur proyek 4
150,37,2024-07-15,2024-07-15 17:30:00,2024-07-15 19:30:00,2,Disetujui,Lembur proyek 4
151,44,2024-07-15,2024-07-15 17:30:00,2024-07-15 18:30:00,1,Ditolak,Lembur proyek 3
152,46,2024-07-15,2024-07-15 17:30:00,2024-07-15 18:30:00,1,Disetujui,Lembur proyek 3
153,50,2024-07-15,2024-07-15 17:30:00,2024-07-15 19:30:00,2,Ditolak,Lembur proyek 1
154,1,2024-07-16,2024-07-16 17:30:00,2024-07-16 18:30:00,1,Ditolak,Lembur proyek 5
155,5,2024-07-16,2024-07-16 17:30:00,2024-07-16 20:30:00,3,Ditolak,Lembur proyek 4
156,6,2024-07-16,2024-07-16 17:30:00,2024-07-16 21:30:00,4,Ditolak,Lembur proyek 2
157,9,2024-07-16,2024-07-16 17:30:00,2024-07-16 18:30:00,1,Ditolak,Lembur proyek 1
158,14,2024-07-16,2024-07-16 17:30:00,2024-07-16 20:30:00,3,Disetujui,Lembur proyek 4
159,17,2024-07-16,2024-07-16 17:30:00,2024-07-16 19:30:00,2,Disetujui,Lembur proyek 1
160,23,2024-07-16,2024-07-16 17:30:00,2024-07-16 18:30:00,1,Ditolak,Lembur proyek 4
161,25,2024-07-16,2024-07-16 17:30:00,2024-07-16 19:30:00,2,Ditolak,Lembur proyek 1
162,26,2024-07-16,2024-07-16 17:30:00,2024-07-16 21:30:00,4,Disetujui,Lembur proyek 1
163,29,2024-07-16,2024-07-16 17:30:00,2024-07-16 19:30:00,2,Ditolak,Lembur proyek 1
164,30,2024-07-16,2024-07-16 17:30:00,2024-07-16 19:30:00,2,Disetujui,Lembur proyek 4
165,31,2024-07-16,2024-07-16 17:30:00,2024-07-16 21:30:00,4,Ditolak,Lembur proyek 2
166,33,2024-07-16,2024-07-16 17:30:00,2024-07-16 18:30:00,1,Disetujui,Lembur proyek 4
167,34,2024-07-16,2024-07-16 17:30:00,2024-07-16 19:30:00,2,Disetujui,Lembur proyek 1
168,38,2024-07-16,2024-07-16 17:30:00,2024-07-16 20:30:00,3,Ditolak,Lembur proyek 1
169,44,2024-07-16,2024-07-16 17:30:00,2024-07-16 21:30:00,4,Ditolak,Lembur proyek 3
170,47,2024-07-16,2024-07-16 17:30:00,2024-07-16 20:30:00,3,Disetujui,Lembur proyek 4
171,3,2024-07-17,2024-07-17 17:30:00,2024-07-17 19:30:00,2,Disetujui,Lembur proyek 2
172,9,2024-07-17,2024-07-17 17:30:00,2024-07-17 21:30:00,4,Ditolak,Lembur proyek 5
173,10,2024-07-17,2024-07-17 17:30:00,2024-07-17 21:30:00,4,Ditolak,Lembur proyek 4
174,15,2024-07-17,2024-07-17 17:30:00,2024-07-17 19:30:00,2,Disetujui,Lembur proyek 3
175,25,2024-07-17,2024-07-17 17:30:00,2024-07-17 18:30:00,1,Disetujui,Lembur proyek 4
176,40,2024-07-17,2024-07-17 17:30:00,2024-07-17 20:30:00,3,Ditolak,Lembur proyek 5
177,11,2024-07-18,2024-07-18 17:30:00,2024-07-18 19:30:00,2,Ditolak,Lembur proyek 4
178,20,2024-07-18,2024-07-18 17:30:00,2024-07-18 19:30:00,2,Ditolak,Lembur proyek 5
179,22,2024-07-18,2024-07-18 17:30:00,2024-07-18 21:30:00,4,Disetujui,Lembur proyek 1
180,23,2024-07-18,2024-07-18 17:30:00,2024-07-18 21:30:00,4,Ditolak,Lembur proyek 2
181,36,2024-07-18,2024-07-18 17:30:00,2024-07-18 19:30:00,2,Disetujui,Lembur proyek 5
182,40,2024-07-18,2024-07-18 17:30:00,2024-07-18 19:30:00,2,Disetujui,Lembur proyek 5
183,41,2024-07-18,2024-07-18 17:30:00,2024-07-18 19:30:00,2,Ditolak,Lembur proyek 1
184,4,2024-07-19,2024-07-19 17:30:00,2024-07-19 20:30:00,3,Ditolak,Lembur proyek 4
185,7,2024-07-19,2024-07-19 17:30:00,2024-07-19 21:30:00,4,Disetujui,Lembur proyek 4
186,8,2024-07-19,2024-07-19 17:30:00,2024-07-19 19:30:00,2,Ditolak,Lembur proyek 2
187,9,2024-07-19,2024-07-19 17:30:00,2024-07-19 18:30:00,1,Ditolak,Lembur proyek 3
188,10,2024-07-19,2024-07-19 17:30:00,2024-07-19 21:30:00,4,Ditolak,Lembur proyek 1
189,12,2024-07-19,2024-07-19 17:30:00,2024-07-19 21:30:00,4,Ditolak,Lembur proyek 2
190,28,2024-07-19,2024-07-19 17:30:00,2024-07-19 20:30:00,3,Disetujui,Lembur proyek 2
191,30,2024-07-19,2024-07-19 17:30:00,2024-07-19 20:30:00,3,Disetujui,Lembur proyek 1
192,37,2024-07-19,2024-07-19 17:30:00,2024-07-19 19:30:00,2,Disetujui,Lembur proyek 2
193,39,2024-07-19,2024-07-19 17:30:00,2024-07-19 18:30:00,1,Ditolak,Lembur proyek 4
194,43,2024-07-19,2024-07-19 17:30:00,2024-07-19 21:30:00,4,Disetujui,Lembur proyek 5
195,49,2024-07-19,2024-07-19 17:30:00,2024-07-19 18:30:00,1,Ditolak,Lembur proyek 4
196,16,2024-07-20,2024-07-20 17:30:00,2024-07-20 21:30:00,4,Ditolak,Lembur proyek 4
197,30,2024-07-20,2024-07-20 17:30:00,2024-07-20 20:30:00,3,Ditolak,Lembur proyek 2
198,32,2024-07-20,2024-07-20 17:30:00,2024-07-20 20:30:00,3,Ditolak,Lembur proyek 2
199,35,2024-07-20,2024-07-20 17:30:00,2024-07-20 20:30:00,3,Ditolak,Lembur proyek 3
200,38,2024-07-20,2024-07-20 17:30:00,2024-07-20 20:30:00,3,Ditolak,Lembur proyek 1
201,49,2024-07-20,2024-07-20 17:30:00,2024-07-20 19:30:00,2,Ditolak,Lembur proyek 4
202,5,2024-07-21,2024-07-21 17:30:00,2024-07-21 19:30:00,2,Ditolak,Lembur proyek 3
203,6,2024-07-21,2024-07-21 17:30:00,2024-07-21 19:30:00,2,Disetujui,Lembur proyek 3
204,9,2024-07-21,2024-07-21 17:30:00,2024-07-21 18:30:00,1,Ditolak,Lembur proyek 1
205,12,2024-07-21,2024-07-21 17:30:00,2024-07-21 21:30:00,4,Disetujui,Lembur proyek 4
206,18,2024-07-21,2024-07-21 17:30:00,2024-07-21 20:30:00,3,Disetujui,Lembur proyek 2
207,22,2024-07-21,2024-07-21 17:30:00,2024-07-21 21:30:00,4,Disetujui,Lembur proyek 5
208,23,2024-07-21,2024-07-21 17:30:00,2024-07-21 21:30:00,4,Disetujui,Lembur proyek 1
209,24,2024-07-21,2024-07-21 17:30:00,2024-07-21 20:30:00,3,Disetujui,Lembur proyek 3
210,29,2024-07-21,2024-07-21 17:30:00,2024-07-21 20:30:00,3,Ditolak,Lembur proyek 5
211,34,2024-07-21,2024-07-21 17:30:00,2024-07-21 20:30:00,3,Disetujui,Lembur proyek 5
212,35,2024-07-21,2024-07-21 17:30:00,2024-07-21 21:30:00,4,Ditolak,Lembur proyek 5
213,37,2024-07-21,2024-07-21 17:30:00,2024-07-21 18:30:00,1,Ditolak,Lembur proyek 4
214,39,2024-07-21,2024-07-21 17:30:00,2024-07-21 19:30:00,2,Disetujui,Lembur proyek 2
215,48,2024-07-21,2024-07-21 17:30:00,2024-07-21 19:30:00,2,Disetujui,Lembur proyek 1
216,1,2024-07-22,2024-07-22 17:30:00,2024-07-22 20:30:00,3,Ditolak,Lembur proyek 5
217,5,2024-07-22,2024-07-22 17:30:00,2024-07-22 19:30:00,2,Ditolak,Lembur proyek 2
218,7,2024-07-22,2024-07-22 17:30:00,2024-07-22 21:30:00,4,Ditolak,Lembur proyek 4
219,12,2024-07-22,2024-07-22 17:30:00,2024-07-22 21:30:00,4,Ditolak,Lembur proyek 5
220,26,2024-07-22,2024-07-22 17:30:00,2024-07-22 20:30:00,3,Disetujui,Lembur proyek 4
221,40,2024-07-22,2024-07-22 17:30:00,2024-07-22 19:30:00,2,Disetujui,Lembur proyek 3
222,47,2024-07-22,2024-07-22 17:30:00,2024-07-22 21:30:00,4,Ditolak,Lembur proyek 4
223,50,2024-07-22,2024-07-22 17:30:00,2024-07-22 21:30:00,4,Ditolak,Lembur proyek 1
224,1,2024-07-23,2024-07-23 17:30:00,2024-07-23 20:30:00,3,Disetujui,Lembur proyek 2
225,9,2024-07-23,2024-07-23 17:30:00,2024-07-23 21:30:00,4,Disetujui,Lembur proyek 5
226,10,2024-07-23,2024-07-23 17:30:00,2024-07-23 21:30:00,4,Disetujui,Lembur proyek 5
227,22,2024-07-23,2024-07-23 17:30:00,2024-07-23 21:30:00,4,Disetujui,Lembur proyek 3
228,23,2024-07-23,2024-07-23 17:30:00,2024-07-23 20:30:00,3,Ditolak,Lembur proyek 4
229,26,2024-07-23,2024-07-23 17:30:00,2024-07-23 18:30:00,1,Ditolak,Lembur proyek 2
230,36,2024-07-23,2024-07-23 17:30:00,2024-07-23 19:30:00,2,Disetujui,Lembur proyek 3
231,42,2024-07-23,2024-07-23 17:30:00,2024-07-23 19:30:00,2,Disetujui,Lembur proyek 2
232,43,2024-07-23,2024-07-23 17:30:00,2024-07-23 20:30:00,3,Ditolak,Lembur proyek 5
233,45,2024-07-23,2024-07-23 17:30:00,2024-07-23 20:30:00,3,Ditolak,Lembur proyek 1
234,46,2024-07-23,2024-07-23 17:30:00,2024-07-23 19:30:00,2,Ditolak,Lembur proyek 5
235,1,2024-07-24,2024-07-24 17:30:00,2024-07-24 20:30:00,3,Ditolak,Lembur proyek 1
236,5,2024-07-24,2024-07-24 17:30:00,2024-07-24 18:30:00,1,Ditolak,Lembur proyek 3
237,13,2024-07-24,2024-07-24 17:30:00,2024-07-24 21:30:00,4,Disetujui,Lembur proyek 5
238,15,2024-07-24,2024-07-24 17:30:00,2024-07-24 19:30:00,2,Disetujui,Lembur proyek 1
239,16,2024-07-24,2024-07-24 17:30:00,2024-07-24 18:30:00,1,Disetujui,Lembur proyek 2
240,38,2024-07-24,2024-07-24 17:30:00,2024-07-24 19:30:00,2,Disetujui,Lembur proyek 2
241,6,2024-07-25,2024-07-25 17:30:00,2024-07-25 19:30:00,2,Disetujui,Lembur proyek 2
242,11,2024-07-25,2024-07-25 17:30:00,2024-07-25 21:30:00,4,Disetujui,Lembur proyek 5
243,19,2024-07-25,2024-07-25 17:30:00,2024-07-25 18:30:00,1,Disetujui,Lembur proyek 2
244,23,2024-07-25,2024-07-25 17:30:00,2024-07-25 19:30:00,2,Disetujui,Lembur proyek 3
245,39,2024-07-25,2024-07-25 17:30:00,2024-07-25 20:30:00,3,Ditolak,Lembur proyek 2
246,43,2024-07-25,2024-07-25 17:30:00,2024-07-25 18:30:00,1,Disetujui,Lembur proyek 4
247,44,2024-07-25,2024-07-25 17:30:00,2024-07-25 19:30:00,2,Disetujui,Lembur proyek 1
248,46,2024-07-25,2024-07-25 17:30:00,2024-07-25 18:30:00,1,Ditolak,Lembur proyek 1
249,47,2024-07-25,2024-07-25 17:30:00,2024-07-25 19:30:00,2,Disetujui,Lembur proyek 4
250,49,2024-07-25,2024-07-25 17:30:00,2024-07-25 21:30:00,4,Ditolak,Lembur proyek 3
251,50,2024-07-25,2024-07-25 17:30:00,2024-07-25 20:30:00,3,Ditolak,Lembur proyek 4
252,1,2024-07-26,2024-07-26 17:30:00,2024-07-26 20:30:00,3,Ditolak,Lembur proyek 2
