kehadiran_id,karyawan_id,tanggal,waktu_masuk,waktu_keluar,status_kehadiran,keterlambatan_menit,keterangan
56,6,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:14:00,Hadir,24,Keterangan untuk Hadir
57,7,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:10:00,Hadir,0,Keterangan untuk Hadir
58,8,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:28:00,Hadir,2,Keterangan untuk Hadir
59,9,2024-07-02,2024-07-02 08:18:00,2024-07-02 17:19:00,Hadir,0,Keterangan untuk Hadir
60,10,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:27:00,Hadir,0,Keterangan untuk Hadir
61,11,2024-07-02,2024-07-02 08:11:00,2024-07-02 17:25:00,Hadir,0,Keterangan untuk Hadir
62,12,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:22:00,Hadir,0,Keterangan untuk Hadir
63,13,2024-07-02,2024-07-02 08:16:00,2024-07-02 17:30:00,Hadir,0,Keterangan untuk Hadir
64,14,2024-07-02,2024-07-02 08:13:00,2024-07-02 17:15:00,Hadir,0,Keterangan untuk Hadir
65,15,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:20:00,Hadir,0,Keterangan untuk Hadir
66,16,2024-07-02,2024-07-02 08:00:00,2024-07-02 17:02:00,Hadir,0,Keterangan untuk Hadir
67,17,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:09:00,Hadir,0,Keterangan untuk Hadir
68,18,2024-07-02,2024-07-02 08:17:00,2024-07-02 17:16:00,Hadir,0,Keterangan untuk Hadir
69,19,2024-07-02,2024-07-02 08:10:00,2024-07-02 17:11:00,Hadir,17,Keterangan untuk Hadir
70,20,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:07:00,Hadir,0,Keterangan untuk Hadir
71,21,2024-07-02,2024-07-02 08:03:00,2024-07-02 17:23:00,Hadir,0,Keterangan untuk Hadir
72,22,2024-07-02,2024-07-02 08:05:00,2024-07-02 17:06:00,Hadir,0,Keterangan untuk Hadir
73,23,2024-07-02,2024-07-02 08:23:00,2024-07-02 17:18:00,Hadir,0,Keterangan untuk Hadir
74,24,2024-07-02,2024-07-02 08:09:00,2024-07-02 17:03:00,Hadir,0,Keterangan untuk Hadir
75,25,2024-07-02,2024-07-02 08:11:00,2024-07-02 17:05:00,Hadir,0,Keterangan untuk Hadir
76,26,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:08:00,Hadir,0,Keterangan untuk Hadir
77,27,2024-07-02,,,Izin,0,Keterangan untuk Izin
78,28,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:20:00,Hadir,0,Keterangan untuk Hadir
79,29,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:00:00,Hadir,0,Keterangan untuk Hadir
80,30,2024-07-02,2024-07-02 08:14:00,2024-07-02 17:10:00,Hadir,0,Keterangan untuk Hadir
81,31,2024-07-02,2024-07-02 08:30:00,2024-07-02 17:27:00,Hadir,0,Keterangan untuk Hadir
82,32,2024-07-02,2024-07-02 08:15:00,2024-07-02 17:02:00,Hadir,12,Keterangan untuk Hadir
83,33,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:04:00,Hadir,0,Keterangan untuk Hadir
84,34,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:03:00,Hadir,2,Keterangan untuk Hadir
85,35,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:25:00,Hadir,0,Keterangan untuk Hadir
86,36,2024-07-02,2024-07-02 08:12:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir
87,37,2024-07-02,2024-07-02 08:18:00,2024-07-02 17:13:00,Hadir,0,Keterangan untuk Hadir
88,38,2024-07-02,2024-07-02 08:19:00,2024-07-02 17:30:00,Hadir,0,Keterangan untuk Hadir
89,39,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:06:00,Hadir,6,Keterangan untuk Hadir
90,40,2024-07-02,2024-07-02 08:07:00,2024-07-02 17:05:00,Hadir,0,Keterangan untuk Hadir
91,41,2024-07-02,2024-07-02 08:13:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir
92,42,2024-07-02,2024-07-02 08:01:00,2024-07-02 17:07:00,Hadir,0,Keterangan untuk Hadir
93,43,2024-07-02,2024-07-02 08:27:00,2024-07-02 17:14:00,Hadir,0,Keterangan untuk Hadir
94,44,2024-07-02,,,Izin,0,Keterangan untuk Izin
95,45,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:18:00,Hadir,0,Keterangan untuk Hadir
96,46,2024-07-02,2024-07-02 08:03:00,2024-07-02 17:17:00,Hadir,13,Keterangan untuk Hadir
97,47,2024-07-02,2024-07-02 08:08:00,2024-07-02 17:26:00,Hadir,0,Keterangan untuk Hadir
98,48,2024-07-02,2024-07-02 08:25:00,2024-07-02 17:09:00,Hadir,0,Keterangan untuk Hadir
99,49,2024-07-02,2024-07-02 08:09:00,2024-07-02 17:14:00,Hadir,29,Keterangan untuk Hadir
100,50,2024-07-02,2024-07-02 08:22:00,2024-07-02 17:12:00,Hadir,0,Keterangan untuk Hadir
101,1,2024-07-03,2024-07-03 08:15:00,2024-07-03 17:14:00,Hadir,0,Keterangan untuk Hadir
102,2,2024-07-03,,,Izin,0,Keterangan untuk Izin
103,3,2024-07-03,2024-07-03 08:19:00,2024-07-03 17:08:00,Hadir,0,Keterangan untuk Hadir
104,4,2024-07-03,,,Izin,0,Keterangan untuk Izin
105,5,2024-07-03,2024-07-03 08:18:00,2024-07-03 17:30:00,Hadir,18,Keterangan untuk Hadir
106,6,2024-07-03,,,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan
107,7,2024-07-03,2024-07-03 08:24:00,2024-07-03 17:24:00,Hadir,0,Keterangan untuk Hadir
108,8,2024-07-03,2024-07-03 08:14:00,2024-07-03 17:29:00,Hadir,0,Keterangan untuk Hadir
109,9,2024-07-03,2024-07-03 08:20:00,2024-07-03 17:26:00,Hadir,13,Keterangan untuk Hadir
110,10,2024-07-03,2024-07-03 08:11:00,2024-07-03 17:13:00,Hadir,0,Keterangan untuk Hadir
111,11,2024-07-03,2024-07-03 08:27:00,2024-07-03 17:05:00,Hadir,0,Keterangan untuk Hadir
112,12,2024-07-03,2024-07-03 08:09:00,2024-07-03 17:21:00,Hadir,0,Keterangan untuk Hadir
113,13,2024-07-03,2024-07-03 08:01:00,2024-07-03 17:14:00,Hadir,17,Keterangan untuk Hadir
114,14,2024-07-03,,,Sakit,0,Keterangan untuk Sakit
115,15,2024-07-03,2024-07-03 08:27:00,2024-07-03 17:16:00,Hadir,12,Keterangan untuk Hadir
116,16,2024-07-03,2024-07-03 08:27:00,2024-07-03 17:17:00,Hadir,0,Keterangan untuk Hadir
117,17,2024-07-03,2024-07-03 08:16:00,2024-07-03 17:11:00,Hadir,0,Keterangan untuk Hadir
118,18,2024-07-03,2024-07-03 08:14:00,2024-07-03 17:24:00,Hadir,0,Keterangan untuk Hadir
119,19,2024-07-03,,,Sakit,0,Keterangan untuk Sakit
120,20,2024-07-03,2024-07-03 08:28:00,2024-07-03 17:22:00,Hadir,14,Keterangan untuk Hadir
121,21,2024-07-03,2024-07-03 08:20:00,2024-07-03 17:19:00,Hadir,0,Keterangan untuk Hadir
122,22,2024-07-03,2024-07-03 08:09:00,2024-07-03 17:17:00,Hadir,0,Keterangan untuk Hadir
123,23,2024-07-03,,,Sakit,0,Keterangan untuk Sakit
124,24,2024-07-03,,,Izin,0,Keterangan untuk Izin
125,25,2024-07-03,2024-07-03 08:26:00,2024-07-03 17:04:00,Hadir,0,Keterangan untuk Hadir
126,26,2024-07-03,2024-07-03 08:16:00,2024-07-03 17:22:00,Hadir,0,Keterangan untuk Hadir
127,27,2024-07-03,2024-07-03 08:07:00,2024-07-03 17:14:00,Hadir,15,Keterangan untuk Hadir
128,28,2024-07-03,2024-07-03 08:29:00,2024-07-03 17:19:00,Hadir,0,Keterangan untuk Hadir
129,29,2024-07-03,2024-07-03 08:02:00,2024-07-03 17:08:00,Hadir,27,Keterangan untuk Hadir
130,30,2024-07-03,2024-07-03 08:29:00,2024-07-03 17:25:00,Hadir,10,Keterangan untuk Hadir
131,31,2024-07-03,2024-07-03 08:23:00,2024-07-03 17:09:00,Hadir,9,Keterangan untuk Hadir
132,32,2024-07-03,2024-07-03 08:21:00,2024-07-03 17:15:00,Hadir,0,Keterangan untuk Hadir
133,33,2024-07-03,2024-07-03 08:15:00,2024-07-03 17:11:00,Hadir,0,Keterangan untuk Hadir
134,34,2024-07-03,2024-07-03 08:12:00,2024-07-03 17:14:00,Hadir,0,Keterangan untuk Hadir
135,35,2024-07-03,2024-07-03 08:07:00,2024-07-03 17:18:00,Hadir,22,Keterangan untuk Hadir
136,36,2024-07-03,2024-07-03 08:01:00,2024-07-03 17:10:00,Hadir,13,Keterangan untuk Hadir
137,37,2024-07-03,2024-07-03 08:25:00,2024-07-03 17:12:00,Hadir,0,Keterangan untuk Hadir
138,38,2024-07-03,2024-07-03 08:26:00,2024-07-03 17:20:00,Hadir,0,Keterangan untuk Hadir
139,39,2024-07-03,2024-07-03 08:01:00,2024-07-03 17:04:00,Hadir,0,Keterangan untuk Hadir
140,40,2024-07-03,2024-07-03 08:27:00,2024-07-03 17:03:00,Hadir,0,Keterangan untuk Hadir
141,41,2024-07-03,2024-07-03 08:16:00,2024-07-03 17:29:00,Hadir,0,Keterangan untuk Hadir
142,42,2024-07-03,2024-07-03 08:13:00,2024-07-03 17:27:00,Hadir,0,Keterangan untuk Hadir
143,43,2024-07-03,2024-07-03 08:15:00,2024-07-03 17:25:00,Hadir,0,Keterangan untuk Hadir
144,44,2024-07-03,2024-07-03 08:22:00,2024-07-03 17:12:00,Hadir,0,Keterangan untuk Hadir
145,45,2024-07-03,2024-07-03 08:21:00,2024-07-03 17:27:00,Hadir,27,Keterangan untuk Hadir
146,46,2024-07-03,2024-07-03 08:22:00,2024-07-03 17:28:00,Hadir,20,Keterangan untuk Hadir
147,47,2024-07-03,2024-07-03 08:19:00,2024-07-03 17:02:00,Hadir,1,Keterangan untuk Hadir
148,48,2024-07-03,2024-07-03 08:09:00,2024-07-03 17:07:00,Hadir,0,Keterangan untuk Hadir
149,49,2024-07-03,2024-07-03 08:03:00,2024-07-03 17:24:00,Hadir,0,Keterangan untuk Hadir
150,50,2024-07-03,2024-07-03 08:05:00,2024-07-03 17:22:00,Hadir,14,Keterangan untuk Hadir
151,1,2024-07-04,2024-07-04 08:10:00,2024-07-04 17:25:00,Hadir,0,Keterangan untuk Hadir
152,2,2024-07-04,,,Sakit,0,Keterangan untuk Sakit
153,3,2024-07-04,2024-07-04 08:16:00,2024-07-04 17:13:00,Hadir,0,Keterangan untuk Hadir
154,4,2024-07-04,2024-07-04 08:05:00,2024-07-04 17:05:00,Hadir,0,Keterangan untuk Hadir
155,5,2024-07-04,,,Sakit,0,Keterangan untuk Sakit
156,6,2024-07-04,2024-07-04 08:29:00,2024-07-04 17:18:00,Hadir,0,Keterangan untuk Hadir
157,7,2024-07-04,2024-07-04 08:08:00,2024-07-04 17:14:00,Hadir,0,Keterangan untuk Hadir
158,8,2024-07-04,2024-07-04 08:25:00,2024-07-04 17:14:00,Hadir,0,Keterangan untuk Hadir
159,9,2024-07-04,2024-07-04 08:05:00,2024-07-04 17:02:00,Hadir,0,Keterangan untuk Hadir
160,10,2024-07-04,2024-07-04 08:18:00,2024-07-04 17:09:00,Hadir,0,Keterangan untuk Hadir
161,11,2024-07-04,2024-07-04 08:08:00,2024-07-04 17:14:00,Hadir,0,Keterangan untuk Hadir
162,12,2024-07-04,2024-07-04 08:12:00,2024-07-04 17:27:00,Hadir,0,Keterangan untuk Hadir
163,13,2024-07-04,2024-07-04 08:18:00,2024-07-04 17:11:00,Hadir,0,Keterangan untuk Hadir
164,14,2024-07-04,2024-07-04 08:00:00,2024-07-04 17:26:00,Hadir,9,Keterangan untuk Hadir
165,15,2024-07-04,2024-07-04 08:18:00,2024-07-04 17:27:00,Hadir,0,Keterangan untuk Hadir
166,16,2024-07-04,2024-07-04 08:01:00,2024-07-04 17:29:00,Hadir,0,Keterangan untuk Hadir
167,17,2024-07-04,2024-07-04 08:28:00,2024-07-04 17:28:00,Hadir,0,Keterangan untuk Hadir
168,18,2024-07-04,2024-07-04 08:19:00,2024-07-04 17:25:00,Hadir,0,Keterangan untuk Hadir
169,19,2024-07-04,2024-07-04 08:19:00,2024-07-04 17:08:00,Hadir,0,Keterangan untuk Hadir
170,20,2024-07-04,2024-07-04 08:21:00,2024-07-04 17:21:00,Hadir,0,Keterangan untuk Hadir
171,21,2024-07-04,2024-07-04 08:28:00,2024-07-04 17:20:00,Hadir,0,Keterangan untuk Hadir
172,22,2024-07-04,2024-07-04 08:14:00,2024-07-04 17:01:00,Hadir,0,Keterangan untuk Hadir
173,23,2024-07-04,2024-07-04 08:02:00,2024-07-04 17:29:00,Hadir,0,Keterangan untuk Hadir
174,24,2024-07-04,2024-07-04 08:05:00,2024-07-04 17:06:00,Hadir,0,Keterangan untuk Hadir
175,25,2024-07-04,2024-07-04 08:11:00,2024-07-04 17:16:00,Hadir,0,Keterangan untuk Hadir
176,26,2024-07-04,2024-07-04 08:05:00,2024-07-04 17:08:00,Hadir,0,Keterangan untuk Hadir
177,27,2024-07-04,2024-07-04 08:25:00,2024-07-04 17:09:00,Hadir,30,Keterangan untuk Hadir
178,28,2024-07-04,2024-07-04 08:03:00,2024-07-04 17:14:00,Hadir,0,Keterangan untuk Hadir
179,29,2024-07-04,2024-07-04 08:30:00,2024-07-04 17:07:00,Hadir,0,Keterangan untuk Hadir
180,30,2024-07-04,2024-07-04 08:12:00,2024-07-04 17:30:00,Hadir,0,Keterangan untuk Hadir
181,31,2024-07-04,2024-07-04 08:02:00,2024-07-04 17:25:00,Hadir,0,Keterangan untuk Hadir
182,32,2024-07-04,2024-07-04 08:03:00,2024-07-04 17:14:00,Hadir,0,Keterangan untuk Hadir
183,33,2024-07-04,2024-07-04 08:08:00,2024-07-04 17:18:00,Hadir,0,Keterangan untuk Hadir
184,34,2024-07-04,2024-07-04 08:11:00,2024-07-04 17:03:00,Hadir,0,Keterangan untuk Hadir
185,35,2024-07-04,2024-07-04 08:19:00,2024-07-04 17:28:00,Hadir,0,Keterangan untuk Hadir
186,36,2024-07-04,2024-07-04 08:19:00,2024-07-04 17:07:00,Hadir,0,Keterangan untuk Hadir
187,37,2024-07-04,2024-07-04 08:14:00,2024-07-04 17:29:00,Hadir,0,Keterangan untuk Hadir
188,38,2024-07-04,2024-07-04 08:03:00,2024-07-04 17:04:00,Hadir,0,Keterangan untuk Hadir
189,39,2024-07-04,,,Izin,0,Keterangan untuk Izin
190,40,2024-07-04,2024-07-04 08:03:00,2024-07-04 17:07:00,Hadir,0,Keterangan untuk Hadir
191,41,2024-07-04,2024-07-04 08:14:00,2024-07-04 17:11:00,Hadir,0,Keterangan untuk Hadir
192,42,2024-07-04,2024-07-04 08:30:00,2024-07-04 17:17:00,Hadir,0,Keterangan untuk Hadir
193,43,2024-07-04,2024-07-04 08:04:00,2024-07-04 17:28:00,Hadir,0,Keterangan untuk Hadir
194,44,2024-07-04,2024-07-04 08:15:00,2024-07-04 17:19:00,Hadir,0,Keterangan untuk Hadir
195,45,2024-07-04,2024-07-04 08:22:00,2024-07-04 17:11:00,Hadir,1,Keterangan untuk Hadir
196,46,2024-07-04,2024-07-04 08:07:00,2024-07-04 17:27:00,Hadir,0,Keterangan untuk Hadir
197,47,2024-07-04,2024-07-04 08:17:00,2024-07-04 17:28:00,Hadir,11,Keterangan untuk Hadir
198,48,2024-07-04,2024-07-04 08:12:00,2024-07-04 17:08:00,Hadir,0,Keterangan untuk Hadir
199,49,2024-07-04,2024-07-04 08:27:00,2024-07-04 17:26:00,Hadir,0,Keterangan untuk Hadir
200,50,2024-07-04,2024-07-04 08:20:00,2024-07-04 17:20:00,Hadir,0,Keterangan untuk Hadir
201,1,2024-07-05,2024-07-05 08:25:00,2024-07-05 17:10:00,Hadir,0,Keterangan untuk Hadir
202,2,2024-07-05,2024-07-05 08:18:00,2024-07-05 17:06:00,Hadir,0,Keterangan untuk Hadir
203,3,2024-07-05,,,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan
204,4,2024-07-05,2024-07-05 08:27:00,2024-07-05 17:07:00,Hadir,0,Keterangan untuk Hadir
205,5,2024-07-05,2024-07-05 08:28:00,2024-07-05 17:19:00,Hadir,0,Keterangan untuk Hadir
206,6,2024-07-05,,,Izin,0,Keterangan untuk Izin
207,7,2024-07-05,2024-07-05 08:25:00,2024-07-05 17:05:00,Hadir,0,Keterangan untuk Hadir
208,8,2024-07-05,2024-07-05 08:00:00,2024-07-05 17:11:00,Hadir,4,Keterangan untuk Hadir
209,9,2024-07-05,2024-07-05 08:10:00,2024-07-05 17:00:00,Hadir,0,Keterangan untuk Hadir
210,10,2024-07-05,2024-07-05 08:23:00,2024-07-05 17:13:00,Hadir,0,Keterangan untuk Hadir
211,11,2024-07-05,2024-07-05 08:15:00,2024-07-05 17:14:00,Hadir,0,Keterangan untuk Hadir
212,12,2024-07-05,2024-07-05 08:03:00,2024-07-05 17:14:00,Hadir,0,Keterangan untuk Hadir
213,13,2024-07-05,2024-07-05 08:23:00,2024-07-05 17:25:00,Hadir,1,Keterangan untuk Hadir
214,14,2024-07-05,2024-07-05 08:09:00,2024-07-05 17:14:00,Hadir,0,Keterangan untuk Hadir
215,15,2024-07-05,2024-07-05 08:15:00,2024-07-05 17:27:00,Hadir,0,Keterangan untuk Hadir
216,16,2024-07-05,2024-07-05 08:15:00,2024-07-05 17:22:00,Hadir,0,Keterangan untuk Hadir
217,17,2024-07-05,2024-07-05 08:02:00,2024-07-05 17:10:00,Hadir,0,Keterangan untuk Hadir
218,18,2024-07-05,2024-07-05 08:08:00,2024-07-05 17:19:00,Hadir,0,Keterangan untuk Hadir
219,19,2024-07-05,2024-07-05 08:10:00,2024-07-05 17:12:00,Hadir,0,Keterangan untuk Hadir
220,20,2024-07-05,2024-07-05 08:14:00,2024-07-05 17:16:00,Hadir,0,Keterangan untuk Hadir
221,21,2024-07-05,2024-07-05 08:22:00,2024-07-05 17:03:00,Hadir,0,Keterangan untuk Hadir
222,22,2024-07-05,2024-07-05 08:24:00,2024-07-05 17:17:00,Hadir,0,Keterangan untuk Hadir
223,23,2024-07-05,2024-07-05 08:14:00,2024-07-05 17:28:00,Hadir,0,Keterangan untuk Hadir
224,24,2024-07-05,2024-07-05 08:14:00,2024-07-05 17:12:00,Hadir,0,Keterangan untuk Hadir
225,25,2024-07-05,2024-07-05 08:13:00,2024-07-05 17:10:00,Hadir,0,Keterangan untuk Hadir
226,26,2024-07-05,2024-07-05 08:04:00,2024-07-05 17:21:00,Hadir,0,Keterangan untuk Hadir
227,27,2024-07-05,2024-07-05 08:26:00,2024-07-05 17:02:00,Hadir,0,Keterangan untuk Hadir
228,28,2024-07-05,,,Izin,0,Keterangan untuk Izin
229,29,2024-07-05,2024-07-05 08:04:00,2024-07-05 17:17:00,Hadir,0,Keterangan untuk Hadir
230,30,2024-07-05,,,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan
231,31,2024-07-05,2024-07-05 08:13:00,2024-07-05 17:11:00,Hadir,0,Keterangan untuk Hadir
232,32,2024-07-05,2024-07-05 08:27:00,2024-07-05 17:29:00,Hadir,13,Keterangan untuk Hadir
233,33,2024-07-05,2024-07-05 08:09:00,2024-07-05 17:11:00,Hadir,19,Keterangan untuk Hadir
234,34,2024-07-05,2024-07-05 08:04:00,2024-07-05 17:21:00,Hadir,0,Keterangan untuk Hadir
235,35,2024-07-05,2024-07-05 08:27:00,2024-07-05 17:17:00,Hadir,11,Keterangan untuk Hadir
236,36,2024-07-05,2024-07-05 08:18:00,2024-07-05 17:07:00,Hadir,0,Keterangan untuk Hadir
237,37,2024-07-05,2024-07-05 08:26:00,2024-07-05 17:19:00,Hadir,24,Keterangan untuk Hadir
238,38,2024-07-05,2024-07-05 08:00:00,2024-07-05 17:19:00,Hadir,0,Keterangan untuk Hadir
239,39,2024-07-05,2024-07-05 08:00:00,2024-07-05 17:05:00,Hadir,8,Keterangan untuk Hadir
240,40,2024-07-05,2024-07-05 08:29:00,2024-07-05 17:10:00,Hadir,0,Keterangan untuk Hadir
241,41,2024-07-05,2024-07-05 08:04:00,2024-07-05 17:18:00,Hadir,0,Keterangan untuk Hadir
242,42,2024-07-05,2024-07-05 08:23:00,2024-07-05 17:20:00,Hadir,0,Keterangan untuk Hadir
243,43,2024-07-05,2024-07-05 08:16:00,2024-07-05 17:06:00,Hadir,0,Keterangan untuk Hadir
244,44,2024-07-05,2024-07-05 08:05:00,2024-07-05 17:11:00,Hadir,0,Keterangan untuk Hadir
245,45,2024-07-05,2024-07-05 08:30:00,2024-07-05 17:18:00,Hadir,0,Keterangan untuk Hadir
246,46,2024-07-05,2024-07-05 08:05:00,2024-07-05 17:24:00,Hadir,4,Keterangan untuk Hadir
247,47,2024-07-05,2024-07-05 08:08:00,2024-07-05 17:14:00,Hadir,0,Keterangan untuk Hadir
248,48,2024-07-05,2024-07-05 08:14:00,2024-07-05 17:13:00,Hadir,0,Keterangan untuk Hadir
249,49,2024-07-05,2024-07-05 08:03:00,2024-07-05 17:11:00,Hadir,0,Keterangan untuk Hadir
250,50,2024-07-05,2024-07-05 08:21:00,2024-07-05 17:18:00,Hadir,0,Keterangan untuk Hadir
251,1,2024-07-06,2024-07-06 08:01:00,2024-07-06 17:07:00,Hadir,0,Keterangan untuk Hadir
252,2,2024-07-06,2024-07-06 08:00:00,2024-07-06 17:06:00,Hadir,0,Keterangan untuk Hadir
