pelanggaran_id,karyawan_id,tanggal,jenis_pelanggaran,deskripsi,tingkat_keparahan,sanksi_potongan
36,38,2024-09-26,Pelanggaran Dress Code,Deskripsi pelanggaran 36,Sedang,490651
37,40,2024-09-23,Pelanggaran Dress Code,Deskripsi pelanggaran 37,Berat,821704
38,41,2024-09-05,Absen Tanpa Keterangan,Deskripsi pelanggaran 38,Ringan,620349
39,45,2024-09-05,Absen Tanpa Keterangan,Deskripsi pelanggaran 39,Ringan,482295
40,46,2024-09-20,Absen Tanpa Keterangan,Deskripsi pelanggaran 40,Berat,724929
41,1,2024-10-09,Terlambat Berulang,Deskripsi pelanggaran 41,Berat,986829
42,3,2024-10-28,Terlambat Berulang,Deskripsi pelanggaran 42,Sedang,838705
43,9,2024-10-04,Terlambat Berulang,Deskripsi pelanggaran 43,Berat,689892
44,10,2024-10-05,Terlambat Berulang,Deskripsi pelanggaran 44,Ringan,916580
45,14,2024-10-05,Terlambat Berulang,Deskripsi pelanggaran 45,Berat,245982
46,15,2024-10-12,Pelanggaran Dress Code,Deskripsi pelanggaran 46,Berat,460239
47,20,2024-10-08,Kelalaian Tugas,Deskripsi pelanggaran 47,Berat,737158
48,22,2024-10-20,Terlambat Berulang,Deskripsi pelanggaran 48,Sedang,831109
49,23,2024-10-20,Terlambat Berulang,Deskripsi pelanggaran 49,Ringan,232038
50,25,2024-10-26,Terlambat Berulang,Deskripsi pelanggaran 50,Sedang,482788
51,33,2024-10-16,Kelalaian Tugas,Deskripsi pelanggaran 51,Berat,113981
52,37,2024-10-26,Kelalaian Tugas,Deskripsi pelanggaran 52,Sedang,335394
53,40,2024-10-23,Absen Tanpa Keterangan,Deskripsi pelanggaran 53,Ringan,949147
54,42,2024-10-21,Pelanggaran Dress Code,Deskripsi pelanggaran 54,Sedang,784184
55,3,2024-11-09,Terlambat Berulang,Deskripsi pelanggaran 55,Ringan,383950
56,4,2024-11-13,Absen Tanpa Keterangan,Deskripsi pelanggaran 56,Ringan,898909
57,5,2024-11-10,Kelalaian Tugas,Deskripsi pelanggaran 57,Ringan,262163
58,6,2024-11-01,Kelalaian Tugas,Deskripsi pelanggaran 58,Ringan,245630
59,14,2024-11-27,Absen Tanpa Keterangan,Deskripsi pelanggaran 59,Sedang,59713
60,17,2024-11-11,Kelalaian Tugas,Deskripsi pelanggaran 60,Sedang,625602
61,19,2024-11-11,Terlambat Berulang,Deskripsi pelanggaran 61,Ringan,652106
62,21,2024-11-05,Kelalaian Tugas,Deskripsi pelanggaran 62,Berat,120247
63,24,2024-11-18,Absen Tanpa Keterangan,Deskripsi pelanggaran 63,Ringan,198916
64,32,2024-11-03,Pelanggaran Dress Code,Deskripsi pelanggaran 64,Sedang,99040
65,36,2024-11-18,Terlambat Berulang,Deskripsi pelanggaran 65,Ringan,443803
66,40,2024-11-09,Absen Tanpa Keterangan,Deskripsi pelanggaran 66,Sedang,254068
67,41,2024-11-10,Kelalaian Tugas,Deskripsi pelanggaran 67,Berat,412939
68,43,2024-11-14,Kelalaian Tugas,Deskripsi pelanggaran 68,Berat,223115
69,44,2024-11-09,Kelalaian Tugas,Deskripsi pelanggaran 69,Sedang,95078
70,46,2024-11-14,Kelalaian Tugas,Deskripsi pelanggaran 70,Ringan,397524
71,1,2024-12-11,Terlambat Berulang,Deskripsi pelanggaran 71,Berat,400319
72,7,2024-12-06,Absen Tanpa Keterangan,Deskripsi pelanggaran 72,Ringan,974366
73,11,2024-12-17,Kelalaian Tugas,Deskripsi pelanggaran 73,Sedang,195114
74,12,2024-12-25,Terlambat Berulang,Deskripsi pelanggaran 74,Berat,994295
75,15,2024-12-18,Absen Tanpa Keterangan,Deskripsi pelanggaran 75,Berat,851287
76,18,2024-12-26,Kelalaian Tugas,Deskripsi pelanggaran 76,Ringan,133085
77,19,2024-12-20,Terlambat Berulang,Deskripsi pelanggaran 77,Berat,882178
78,23,2024-12-28,Pelanggaran Dress Code,Deskripsi pelanggaran 78,Ringan,257142
79,25,2024-12-10,Pelanggaran Dress Code,Deskripsi pelanggaran 79,Berat,445686
80,26,2024-12-18,Kelalaian Tugas,Deskripsi pelanggaran 80,Sedang,709639
81,28,2024-12-10,Terlambat Berulang,Deskripsi pelanggaran 81,Sedang,975120
82,30,2024-12-22,Pelanggaran Dress Code,Deskripsi pelanggaran 82,Berat,972707
83,32,2024-12-14,Kelalaian Tugas,Deskripsi pelanggaran 83,Ringan,730704
84,34,2024-12-11,Pelanggaran Dress Code,Deskripsi pelanggaran 84,Ringan,655095
85,40,2024-12-07,Pelanggaran Dress Code,Deskripsi pelanggaran 85,Sedang,153644
86,41,2024-12-10,Kelalaian Tugas,Deskripsi pelanggaran 86,Berat,383068
87,42,2024-12-18,Kelalaian Tugas,Deskripsi pelanggaran 87,Berat,451474
88,44,2024-12-11,Pelanggaran Dress Code,Deskripsi pelanggaran 88,Ringan,669832
89,45,2024-12-08,Absen Tanpa Keterangan,Deskripsi pelanggaran 89,Berat,65013
90,47,2024-12-03,Pelanggaran Dress Code,Deskripsi pelanggaran 90,Sedang,61943
91,48,2024-12-13,Terlambat Berulang,Deskripsi pelanggaran 91,Ringan,661302
92,3,2025-01-05,Pelanggaran Dress Code,Deskripsi pelanggaran 92,Sedang,381444
93,5,2025-01-06,Pelanggaran Dress Code,Deskripsi pelanggaran 93,Sedang,295789
94,7,2025-01-11,Terlambat Berulang,Deskripsi pelanggaran 94,Sedang,885915
95,9,2025-01-25,Absen Tanpa Keterangan,Deskripsi pelanggaran 95,Ringan,480841
96,16,2025-01-11,Pelanggaran Dress Code,Deskripsi pelanggaran 96,Sedang,140744
97,18,2025-01-23,Terlambat Berulang,Deskripsi pelanggaran 97,Berat,680886
98,19,2025-01-19,Pelanggaran Dress Code,Deskripsi pelanggaran 98,Berat,188520
99,22,2025-01-04,Absen Tanpa Keterangan,Deskripsi pelanggaran 99,Sedang,130708
100,24,2025-01-09,Terlambat Berulang,Deskripsi pelanggaran 100,Sedang,163231
101,27,2025-01-01,Terlambat Berulang,Deskripsi pelanggaran 101,Sedang,639931
102,29,2025-01-23,Terlambat Berulang,Deskripsi pelanggaran 102,Sedang,725311
103,32,2025-01-28,Kelalaian Tugas,Deskripsi pelanggaran 103,Berat,633348
104,33,2025-01-14,Absen Tanpa Keterangan,Deskripsi pelanggaran 104,Berat,447416
105,35,2025-01-03,Absen Tanpa Keterangan,Deskripsi pelanggaran 105,Ringan,812486
106,37,2025-01-23,Absen Tanpa Keterangan,Deskripsi pelanggaran 106,Ringan,131812
107,40,2025-01-02,Kelalaian Tugas,Deskripsi pelanggaran 107,Berat,90609
108,41,2025-01-12,Absen Tanpa Keterangan,Deskripsi pelanggaran 108,Berat,728047
109,44,2025-01-01,Pelanggaran Dress Code,Deskripsi pelanggaran 109,Berat,889671
110,49,2025-01-12,Kelalaian Tugas,Deskripsi pelanggaran 110,Sedang,659983
111,50,2025-01-03,Terlambat Berulang,Deskripsi pelanggaran 111,Sedang,761170
112,2,2025-02-02,Absen Tanpa Keterangan,Deskripsi pelanggaran 112,Berat,625794
113,4,2025-02-07,Terlambat Berulang,Deskripsi pelanggaran 113,Berat,707968
114,8,2025-02-14,Kelalaian Tugas,Deskripsi pelanggaran 114,Ringan,737947
115,16,2025-02-11,Absen Tanpa Keterangan,Deskripsi pelanggaran 115,Berat,918978
116,20,2025-02-10,Pelanggaran Dress Code,Deskripsi pelanggaran 116,Sedang,492122
117,21,2025-02-13,Terlambat Berulang,Deskripsi pelanggaran 117,Sedang,85247
118,23,2025-02-22,Pelanggaran Dress Code,Deskripsi pelanggaran 118,Berat,936295
119,24,2025-02-10,Terlambat Berulang,Deskripsi pelanggaran 119,Berat,749646
120,26,2025-02-17,Terlambat Berulang,Deskripsi pelanggaran 120,Sedang,670180
121,27,2025-02-10,Kelalaian Tugas,Deskripsi pelanggaran 121,Ringan,449570
122,30,2025-02-08,Pelanggaran Dress Code,Deskripsi pelanggaran 122,Berat,756407
123,32,2025-02-25,Absen Tanpa Keterangan,Deskripsi pelanggaran 123,Sedang,62394
124,37,2025-02-19,Terlambat Berulang,Deskripsi pelanggaran 124,Berat,915627
125,39,2025-02-11,Absen Tanpa Keterangan,Deskripsi pelanggaran 125,Berat,318578
126,41,2025-02-26,Absen Tanpa Keterangan,Deskripsi pelanggaran 126,Sedang,257050
127,43,2025-02-01,Kelalaian Tugas,Deskripsi pelanggaran 127,Sedang,338578
128,45,2025-02-12,Terlambat Berulang,Deskripsi pelanggaran 128,Ringan,330034
129,47,2025-02-15,Terlambat Berulang,Deskripsi pelanggaran 129,Berat,354060
130,50,2025-02-07,Pelanggaran Dress Code,Deskripsi pelanggaran 130,Berat,741846
131,5,2025-03-14,Kelalaian Tugas,Deskripsi pelanggaran 131,Sedang,359143
132,6,2025-03-20,Pelanggaran Dress Code,Deskripsi pelanggaran 132,Ringan,190901
133,10,2025-03-16,Kelalaian Tugas,Deskripsi pelanggaran 133,Sedang,242893
134,19,2025-03-27,Kelalaian Tugas,Deskripsi pelanggaran 134,Berat,397850
135,22,2025-03-14,Pelanggaran Dress Code,Deskripsi pelanggaran 135,Sedang,424533
136,25,2025-03-08,Pelanggaran Dress Code,Deskripsi pelanggaran 136,Ringan,308049
137,27,2025-03-27,Absen Tanpa Keterangan,Deskripsi pelanggaran 137,Berat,521260
138,29,2025-03-02,Terlambat Berulang,Deskripsi pelanggaran 138,Berat,57955
139,39,2025-03-13,Absen Tanpa Keterangan,Deskripsi pelanggaran 139,Ringan,803613
140,40,2025-03-25,Pelanggaran Dress Code,Deskripsi pelanggaran 140,Berat,332479
141,3,2025-04-27,Kelalaian Tugas,Deskripsi pelanggaran 141,Sedang,607384
142,6,2025-04-26,Absen Tanpa Keterangan,Deskripsi pelanggaran 142,Sedang,481088
143,7,2025-04-06,Pelanggaran Dress Code,Deskripsi pelanggaran 143,Berat,750791
144,8,2025-04-12,Kelalaian Tugas,Deskripsi pelanggaran 144,Sedang,373747
145,15,2025-04-21,Pelanggaran Dress Code,Deskripsi pelanggaran 145,Sedang,389169
146,23,2025-04-13,Kelalaian Tugas,Deskripsi pelanggaran 146,Sedang,952510
147,25,2025-04-04,Absen Tanpa Keterangan,Deskripsi pelanggaran 147,Sedang,479348
148,26,2025-04-21,Pelanggaran Dress Code,Deskripsi pelanggaran 148,Berat,509821
149,32,2025-04-13,Terlambat Berulang,Deskripsi pelanggaran 149,Berat,101199
150,33,2025-04-25,Kelalaian Tugas,Deskripsi pelanggaran 150,Ringan,228423
151,35,2025-04-04,Absen Tanpa Keterangan,Deskripsi pelanggaran 151,Ringan,537720
152,36,2025-04-25,Absen Tanpa Keterangan,Deskripsi pelanggaran 152,Sedang,123795
153,37,2025-04-11,Kelalaian Tugas,Deskripsi pelanggaran 153,Berat,407113
154,48,2025-04-13,Kelalaian Tugas,Deskripsi pelanggaran 154,Sedang,270631
155,50,2025-04-15,Pelanggaran Dress Code,Deskripsi pelanggaran 155,Berat,656091
156,3,2025-05-10,Terlambat Berulang,Deskripsi pelanggaran 156,Berat,220312
157,4,2025-05-02,Absen Tanpa Keterangan,Deskripsi pelanggaran 157,Ringan,157744
158,9,2025-05-06,Terlambat Berulang,Deskripsi pelanggaran 158,Ringan,687276
159,11,2025-05-16,Kelalaian Tugas,Deskripsi pelanggaran 159,Berat,825556
160,15,2025-05-25,Absen Tanpa Keterangan,Deskripsi pelanggaran 160,Sedang,519807
161,16,2025-05-23,Absen Tanpa Keterangan,Deskripsi pelanggaran 161,Berat,107764
162,19,2025-05-27,Kelalaian Tugas,Deskripsi pelanggaran 162,Berat,157627
163,21,2025-05-22,Kelalaian Tugas,Deskripsi pelanggaran 163,Ringan,544929
164,22,2025-05-19,Absen Tanpa Keterangan,Deskripsi pelanggaran 164,Ringan,718908
165,27,2025-05-15,Terlambat Berulang,Deskripsi pelanggaran 165,Berat,757680
166,28,2025-05-24,Kelalaian Tugas,Deskripsi pelanggaran 166,Sedang,824276
167,32,2025-05-04,Terlambat Berulang,Deskripsi pelanggaran 167,Berat,761471
168,34,2025-05-07,Absen Tanpa Keterangan,Deskripsi pelanggaran 168,Sedang,414656
169,35,2025-05-17,Terlambat Berulang,Deskripsi pelanggaran 169,Sedang,435165
170,37,2025-05-03,Absen Tanpa Keterangan,Deskripsi pelanggaran 170,Ringan,438291
171,41,2025-05-22,Kelalaian Tugas,Deskripsi pelanggaran 171,Berat,517720
172,43,2025-05-24,Pelanggaran Dress Code,Deskripsi pelanggaran 172,Sedang,164587
173,44,2025-05-13,Kelalaian Tugas,Deskripsi pelanggaran 173,Sedang,671554
174,2,2025-06-19,Absen Tanpa Keterangan,Deskripsi pelanggaran 174,Sedang,521907
175,3,2025-06-08,Kelalaian Tugas,Deskripsi pelanggaran 175,Ringan,370850
176,4,2025-06-03,Terlambat Berulang,Deskripsi pelanggaran 176,Berat,540680
177,5,2025-06-16,Absen Tanpa Keterangan,Deskripsi pelanggaran 177,Ringan,108394
178,20,2025-06-14,Absen Tanpa Keterangan,Deskripsi pelanggaran 178,Ringan,633747
179,26,2025-06-03,Absen Tanpa Keterangan,Deskripsi pelanggaran 179,Ringan,139188
180,31,2025-06-26,Pelanggaran Dress Code,Deskripsi pelanggaran 180,Berat,140405
181,34,2025-06-13,Absen Tanpa Keterangan,Deskripsi pelanggaran 181,Berat,149032
182,36,2025-06-23,Terlambat Berulang,Deskripsi pelanggaran 182,Sedang,778738
183,39,2025-06-23,Terlambat Berulang,Deskripsi pelanggaran 183,Sedang,406896
184,41,2025-06-11,Terlambat Berulang,Deskripsi pelanggaran 184,Berat,592872
185,44,2025-06-20,Terlambat Berulang,Deskripsi pelanggaran 185,Berat,938493
186,45,2025-06-20,Terlambat Berulang,Deskripsi pelanggaran 186,Ringan,873089
187,46,2025-06-23,Kelalaian Tugas,Deskripsi pelanggaran 187,Sedang,686702
